"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"3687",545333,"Trevor Bauer","3687","100.0","0.230","0.199","0.290","0.429","0.320","0.311","0.227","184","800","88.1","16.0","2456","87.1","86.71","489","1662","1999","-0.4","6.00","111","153","115","148","291","311","289"
"3553",458681,"Lance Lynn","3553","100.0","0.243","0.146","0.322","0.390","0.297","0.288","0.232","195","801","87.4","13.6","2436","91.9","91.92","497","1729","1803","0.0","6.23","110","154","114","149","293","322","300"
"3495",593958,"Eduardo Rodriguez","3495","100.0","0.253","0.138","0.318","0.391","0.310","0.294","0.230","195","770","85.7","9.1","2163","90.5","90.00","444","1622","1865","-0.5","5.92","107","150","115","149","287","322","288"
"3448",434378,"Justin Verlander","3448","100.0","0.172","0.188","0.219","0.361","0.246","0.249","0.189","137","796","87.3","18.2","2599","89.6","88.69","602","1785","1652","-0.9","5.83","113","157","117","152","290","316","297"
"3384",544931,"Stephen Strasburg","3384","100.0","0.210","0.139","0.276","0.349","0.268","0.266","0.212","161","768","87.3","7.2","2245","88.7","89.45","492","1599","1761","0.8","6.71","114","151","112","149","303","316","296"
"3362",543037,"Gerrit Cole","3362","100.0","0.186","0.156","0.276","0.343","0.249","0.238","0.184","142","762","87.3","13.6","2559","92.4","92.00","624","1675","1680","-0.4","6.11","112","155","119","151","289","316","297"
"3358",501985,"Mike Minor","3358","100.0","0.244","0.151","0.288","0.395","0.304","0.299","0.233","190","779","86.4","16.4","2563","88.4","87.47","421","1598","1746","-0.9","5.61","105","152","111","147","293","322","298"
"3332",605400,"Aaron Nola","3332","100.0","0.233","0.160","0.297","0.393","0.307","0.307","0.236","176","755","88.5","8.7","2198","86.7","86.94","393","1475","1836","0.2","6.43","111","151","117","150","299","323","294"
"3332",669456,"Shane Bieber","3332","100.0","0.230","0.163","0.298","0.393","0.283","0.300","0.246","186","810","90.4","12.3","2256","88.4","88.60","487","1588","1734","0.2","6.27","111","152","115","150","290","312","290"
"3299",571578,"Patrick Corbin","3299","100.0","0.227","0.149","0.295","0.375","0.288","0.304","0.230","169","746","88.9","7.5","2245","86.7","86.58","492","1548","1733","-0.1","6.20","109","150","112","147","304","316","295"
